代码,指数名称,rule_id,factor,category,strategy_label,open_condition,close_condition,close_reason,entry_signal_date,entry_date,exit_signal_date,exit_date,entry_signal_idx,entry_idx,exit_signal_idx,exit_idx,entry_price,exit_price,trade_return,annualized_trade_return,max_drawdown,holding_days,forced_exit
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2022-02-16,2022-02-17,2022-03-11,2022-03-14,1328,1329,1345,1346,5532.4855,5098.4115,-0.07845913016852912,-0.7021612916114164,-0.08978407218197404,17,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2022-05-12,2022-05-13,2022-06-24,2022-06-27,1384,1385,1414,1415,4739.1925,5322.6636,0.12311614267620485,1.6519615520868736,-0.03171199515779288,30,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2022-10-18,2022-10-19,2022-11-25,2022-11-28,1490,1491,1518,1519,4736.7025,4743.2204,0.0013760416661168229,0.012452759975282612,-0.04994482976289938,28,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2023-01-13,2023-01-16,2023-02-22,2023-02-23,1552,1553,1575,1576,5023.4292,5139.3138,0.023068823185564247,0.2838748963105975,-0.02646272016941198,23,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2023-03-30,2023-03-31,2023-04-18,2023-04-19,1601,1602,1613,1614,5074.026,5134.0966,0.011838843553422906,0.2803782810740785,-0.011052799836988036,12,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2023-06-27,2023-06-28,2023-07-03,2023-07-04,1658,1659,1662,1663,4815.6284,4914.6886,0.020570565619224546,2.6067117494563052,0.0,4,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2023-08-03,2023-08-04,2023-08-16,2023-08-17,1685,1686,1694,1695,4967.3118,4755.5905,-0.04262291326266254,-0.7046582690500822,-0.049220526080122395,9,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2023-09-04,2023-09-05,2023-10-17,2023-10-18,1707,1708,1732,1733,4729.155,4511.9017,-0.045939137118576,-0.37751786195088555,-0.04667705625378682,25,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2023-11-13,2023-11-14,2023-11-23,2023-11-24,1751,1752,1759,1760,4601.2872,4558.1807,-0.009368356750258933,-0.25658009682737015,-0.01536958380773601,8,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2024-01-09,2024-01-10,2024-01-12,2024-01-15,1791,1792,1794,1795,4204.0047,4223.3597,0.004603943473231453,0.4708548029087136,-0.006775948537549814,3,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2024-02-06,2024-02-07,2024-03-18,2024-03-19,1811,1812,1834,1835,3895.0043,4401.2993,0.1299857358308949,2.8150044953255575,-0.0295584876867514,23,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2024-07-16,2024-07-17,2024-07-30,2024-07-31,1914,1915,1924,1925,4013.7165,4020.5826,0.0017106589366737701,0.044012826328534205,-0.037506065517458165,10,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2024-09-05,2024-09-06,2024-10-24,2024-10-25,1951,1952,1979,1980,3758.184,4767.4349,0.26854749527963495,7.506689661290229,-0.11041049063339425,28,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2025-01-24,2025-01-27,2025-03-04,2025-03-05,2044,2045,2065,2066,4632.6668,4905.0251,0.058790824326066415,0.9848241141196699,-0.02797001626384321,21,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2025-04-25,2025-04-28,2025-05-23,2025-05-26,2102,2103,2119,2120,4639.9026,4776.1769,0.029370077725338506,0.5358704684609634,-0.01908950357908401,17,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2025-06-12,2025-06-13,2025-08-04,2025-08-05,2132,2133,2169,2170,4813.1973,5239.873,0.08864704133362666,0.7833272111167644,-0.019236005295915848,37,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2025-12-08,2025-12-09,2026-01-21,2026-01-22,2253,2254,2283,2284,5802.8454,6298.0605,0.08534004714307897,0.989541283426641,-0.024297504483200894,30,False
000985.CSI,中证全指,margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,闭仓_下穿均线_20日,闭仓_下穿均线_20日,2026-03-05,2026-03-06,2026-03-23,2026-03-24,2308,2309,2320,2321,6252.3769,5843.7257,-0.06535933558324036,-0.7581544388386285,-0.09339613386907863,12,False
