代码,指数名称,日期,rule_id,factor,position,strategy_return,benchmark_return
000985.CSI,中证全指,2017-05-10,chip_profit_index,指数筹码盈利,1.0,-0.012378226700324624,-0.012378226700324624
000985.CSI,中证全指,2017-05-11,chip_profit_index,指数筹码盈利,1.0,-0.00048104016505412517,-0.00048104016505412517
000985.CSI,中证全指,2017-05-12,chip_profit_index,指数筹码盈利,1.0,0.003166808723153558,0.003166808723153558
000985.CSI,中证全指,2017-05-15,chip_profit_index,指数筹码盈利,1.0,0.0038187700155614124,0.0038187700155614124
000985.CSI,中证全指,2017-05-16,chip_profit_index,指数筹码盈利,1.0,0.015044979314829288,0.015044979314829288
000985.CSI,中证全指,2017-05-17,chip_profit_index,指数筹码盈利,1.0,-0.0008311685190118823,-0.0008311685190118823
000985.CSI,中证全指,2017-05-18,chip_profit_index,指数筹码盈利,1.0,-0.005502156501640987,-0.005502156501640987
000985.CSI,中证全指,2017-05-19,chip_profit_index,指数筹码盈利,1.0,0.0005463227886473021,0.0005463227886473021
000985.CSI,中证全指,2017-05-22,chip_profit_index,指数筹码盈利,1.0,-0.008087858567853545,-0.008087858567853545
000985.CSI,中证全指,2017-05-23,chip_profit_index,指数筹码盈利,1.0,-0.012450723407210096,-0.012450723407210096
000985.CSI,中证全指,2017-05-24,chip_profit_index,指数筹码盈利,1.0,0.0026852779770296653,0.0026852779770296653
000985.CSI,中证全指,2017-05-25,chip_profit_index,指数筹码盈利,1.0,0.012627191016603145,0.012627191016603145
000985.CSI,中证全指,2017-05-26,chip_profit_index,指数筹码盈利,1.0,-0.001045565559990247,-0.001045565559990247
000985.CSI,中证全指,2017-05-31,chip_profit_index,指数筹码盈利,1.0,0.00047803421198477913,0.00047803421198477913
000985.CSI,中证全指,2017-06-01,chip_profit_index,指数筹码盈利,1.0,-0.01161670009805471,-0.01161670009805471
000985.CSI,中证全指,2017-06-02,chip_profit_index,指数筹码盈利,1.0,0.003876423143328589,0.003876423143328589
000985.CSI,中证全指,2017-06-05,chip_profit_index,指数筹码盈利,1.0,0.001990739756962734,0.001990739756962734
000985.CSI,中证全指,2017-06-06,chip_profit_index,指数筹码盈利,1.0,0.005507474844991922,0.005507474844991922
000985.CSI,中证全指,2017-06-07,chip_profit_index,指数筹码盈利,1.0,0.016238735720046416,0.016238735720046416
000985.CSI,中证全指,2017-06-08,chip_profit_index,指数筹码盈利,1.0,0.003837913356659728,0.003837913356659728
000985.CSI,中证全指,2017-06-09,chip_profit_index,指数筹码盈利,1.0,0.002630854153422346,0.002630854153422346
000985.CSI,中证全指,2017-06-12,chip_profit_index,指数筹码盈利,1.0,-0.007234132667085391,-0.007234132667085391
000985.CSI,中证全指,2017-06-13,chip_profit_index,指数筹码盈利,1.0,0.008190422480076398,0.008190422480076398
000985.CSI,中证全指,2017-06-14,chip_profit_index,指数筹码盈利,1.0,-0.006342377510205721,-0.006342377510205721
000985.CSI,中证全指,2017-06-15,chip_profit_index,指数筹码盈利,1.0,0.004865799447582253,0.004865799447582253
000985.CSI,中证全指,2017-06-16,chip_profit_index,指数筹码盈利,1.0,-0.0022793726068316422,-0.0022793726068316422
000985.CSI,中证全指,2017-06-19,chip_profit_index,指数筹码盈利,1.0,0.00797565002484113,0.00797565002484113
000985.CSI,中证全指,2017-06-20,chip_profit_index,指数筹码盈利,1.0,-0.00026022625105048824,-0.00026022625105048824
000985.CSI,中证全指,2017-06-21,chip_profit_index,指数筹码盈利,1.0,0.0058878129299668736,0.0058878129299668736
000985.CSI,中证全指,2017-06-22,chip_profit_index,指数筹码盈利,1.0,-0.008321181403358802,-0.008321181403358802
000985.CSI,中证全指,2017-06-23,chip_profit_index,指数筹码盈利,1.0,0.004887295556245563,0.004887295556245563
000985.CSI,中证全指,2017-06-26,chip_profit_index,指数筹码盈利,1.0,0.012777669418611914,0.012777669418611914
